"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Narromine LGA, Persons, 2011 and 2016, 15-44, , ,"2,247","2,124", , , , 
 Narromine LGA, Persons, 2011 and 2016, 45-64, , ,"1,805","1,700", , , , 
 Narromine LGA, Persons, 2011 and 2016, 65+, , ,"1,144","1,330", , , , 
 Narromine LGA, Persons, 2011 and 2016, All ages, , ,"6,832","6,599", , , , 
 Narromine LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,445","1,454", , , 
 Narromine LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,124","2,111", , , 
 Narromine LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,700","1,667", , , 
 Narromine LGA, Persons, 2016 and 2021*, 65+, , , ,"1,330","1,485", , , 
 Narromine LGA, Persons, 2016 and 2021*, All ages, , , ,"6,599","6,717", , , 
 Narromine LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,445", ,"1,363", , 
 Narromine LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,124", ,"2,053", , 
 Narromine LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,700", ,"1,542", , 
 Narromine LGA, Persons, 2016 and 2026*, 65+, , , ,"1,330", ,"1,618", , 
 Narromine LGA, Persons, 2016 and 2026*, All ages, , , ,"6,599", ,"6,576", , 
 Narromine LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,445", , ,"1,297", 
 Narromine LGA, Persons, 2016 and 2031*, 15-44, , , ,"2,124", , ,"1,929", 
 Narromine LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,700", , ,"1,489", 
 Narromine LGA, Persons, 2016 and 2031*, 65+, , , ,"1,330", , ,"1,680", 
 Narromine LGA, Persons, 2016 and 2031*, All ages, , , ,"6,599", , ,"6,395", 
 Narromine LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,445", , , ,"1,228"
 Narromine LGA, Persons, 2016 and 2036*, 15-44, , , ,"2,124", , , ,"1,790"
 Narromine LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,700", , , ,"1,454"
 Narromine LGA, Persons, 2016 and 2036*, 65+, , , ,"1,330", , , ,"1,705"
 Narromine LGA, Persons, 2016 and 2036*, All ages, , , ,"6,599", , , ,"6,178"
 Newcastle LGA, Persons, 2001 and 2016, 0-14,"24,820", , ,"27,480", , , , 
 Newcastle LGA, Persons, 2001 and 2016, 15-44,"62,698", , ,"70,337", , , , 
 Newcastle LGA, Persons, 2001 and 2016, 45-64,"30,604", , ,"38,412", , , , 
 Newcastle LGA, Persons, 2001 and 2016, 65+,"22,879", , ,"24,690", , , , 
 Newcastle LGA, Persons, 2001 and 2016, All ages,"141,001", , ,"160,919", , , , 
 Newcastle LGA, Persons, 2006 and 2016, 0-14, ,"24,837", ,"27,480", , , , 
 Newcastle LGA, Persons, 2006 and 2016, 15-44, ,"64,799", ,"70,337", , , , 
 Newcastle LGA, Persons, 2006 and 2016, 45-64, ,"34,480", ,"38,412", , , , 
 Newcastle LGA, Persons, 2006 and 2016, 65+, ,"22,507", ,"24,690", , , , 
 Newcastle LGA, Persons, 2006 and 2016, All ages, ,"146,623", ,"160,919", , , , 
 Newcastle LGA, Persons, 2011 and 2016, 0-14, , ,"26,108","27,480", , , , 
 Newcastle LGA, Persons, 2011 and 2016, 15-44, , ,"68,229","70,337", , , , 
 Newcastle LGA, Persons, 2011 and 2016, 45-64, , ,"37,515","38,412", , , , 
 Newcastle LGA, Persons, 2011 and 2016, 65+, , ,"23,698","24,690", , , , 
 Newcastle LGA, Persons, 2011 and 2016, All ages, , ,"155,550","160,919", , , , 
 Newcastle LGA, Persons, 2016 and 2021*, 0-14, , , ,"27,480","29,075", , , 
 Newcastle LGA, Persons, 2016 and 2021*, 15-44, , , ,"70,337","74,748", , , 
 Newcastle LGA, Persons, 2016 and 2021*, 45-64, , , ,"38,412","41,312", , , 
 Newcastle LGA, Persons, 2016 and 2021*, 65+, , , ,"24,690","29,288", , , 
 Newcastle LGA, Persons, 2016 and 2021*, All ages, , , ,"160,919","174,423", , , 
 Newcastle LGA, Persons, 2016 and 2026*, 0-14, , , ,"27,480", ,"30,713", , 
 Newcastle LGA, Persons, 2016 and 2026*, 15-44, , , ,"70,337", ,"77,628", , 
 Newcastle LGA, Persons, 2016 and 2026*, 45-64, , , ,"38,412", ,"41,962", , 
 Newcastle LGA, Persons, 2016 and 2026*, 65+, , , ,"24,690", ,"33,168", , 
 Newcastle LGA, Persons, 2016 and 2026*, All ages, , , ,"160,919", ,"183,471", , 
 Newcastle LGA, Persons, 2016 and 2031*, 0-14, , , ,"27,480", , ,"31,833", 
 Newcastle LGA, Persons, 2016 and 2031*, 15-44, , , ,"70,337", , ,"80,013", 
 Newcastle LGA, Persons, 2016 and 2031*, 45-64, , , ,"38,412", , ,"43,513", 
 Newcastle LGA, Persons, 2016 and 2031*, 65+, , , ,"24,690", , ,"36,904", 
 Newcastle LGA, Persons, 2016 and 2031*, All ages, , , ,"160,919", , ,"192,264", 
 Newcastle LGA, Persons, 2016 and 2036*, 0-14, , , ,"27,480", , , ,"32,229"
 Newcastle LGA, Persons, 2016 and 2036*, 15-44, , , ,"70,337", , , ,"80,561"
 Newcastle LGA, Persons, 2016 and 2036*, 45-64, , , ,"38,412", , , ,"45,435"
 Newcastle LGA, Persons, 2016 and 2036*, 65+, , , ,"24,690", , , ,"40,106"
 Newcastle LGA, Persons, 2016 and 2036*, All ages, , , ,"160,919", , , ,"198,330"
 North Sydney LGA, Persons, 2001 and 2016, 0-14,"5,403", , ,"9,149", , , , 
 North Sydney LGA, Persons, 2001 and 2016, 15-44,"32,760", , ,"36,567", , , , 
 North Sydney LGA, Persons, 2001 and 2016, 45-64,"13,367", , ,"16,205", , , , 
 North Sydney LGA, Persons, 2001 and 2016, 65+,"6,807", , ,"10,116", , , , 
 North Sydney LGA, Persons, 2001 and 2016, All ages,"58,337", , ,"72,037", , , , 
 North Sydney LGA, Persons, 2006 and 2016, 0-14, ,"5,700", ,"9,149", , , , 
 North Sydney LGA, Persons, 2006 and 2016, 15-44, ,"34,331", ,"36,567", , , , 
 North Sydney LGA, Persons, 2006 and 2016, 45-64, ,"14,270", ,"16,205", , , , 
 North Sydney LGA, Persons, 2006 and 2016, 65+, ,"7,211", ,"10,116", , , , 
 North Sydney LGA, Persons, 2006 and 2016, All ages, ,"61,512", ,"72,037", , , , 
 North Sydney LGA, Persons, 2011 and 2016, 0-14, , ,"7,332","9,149", , , , 
 North Sydney LGA, Persons, 2011 and 2016, 15-44, , ,"35,887","36,567", , , , 
 North Sydney LGA, Persons, 2011 and 2016, 45-64, , ,"15,238","16,205", , , , 
 North Sydney LGA, Persons, 2011 and 2016, 65+, , ,"8,290","10,116", , , , 
 North Sydney LGA, Persons, 2011 and 2016, All ages, , ,"66,747","72,037", , , , 
 North Sydney LGA, Persons, 2016 and 2021*, 0-14, , , ,"9,149","9,293", , , 
 North Sydney LGA, Persons, 2016 and 2021*, 15-44, , , ,"36,567","38,655", , , 
 North Sydney LGA, Persons, 2016 and 2021*, 45-64, , , ,"16,205","17,680", , , 
 North Sydney LGA, Persons, 2016 and 2021*, 65+, , , ,"10,116","11,484", , , 
 North Sydney LGA, Persons, 2016 and 2021*, All ages, , , ,"72,037","77,112", , , 
 North Sydney LGA, Persons, 2016 and 2026*, 0-14, , , ,"9,149", ,"9,743", , 
 North Sydney LGA, Persons, 2016 and 2026*, 15-44, , , ,"36,567", ,"39,980", , 
 North Sydney LGA, Persons, 2016 and 2026*, 45-64, , , ,"16,205", ,"18,757", , 
 North Sydney LGA, Persons, 2016 and 2026*, 65+, , , ,"10,116", ,"13,142", , 
 North Sydney LGA, Persons, 2016 and 2026*, All ages, , , ,"72,037", ,"81,622", , 
 North Sydney LGA, Persons, 2016 and 2031*, 0-14, , , ,"9,149", , ,"10,132", 
 North Sydney LGA, Persons, 2016 and 2031*, 15-44, , , ,"36,567", , ,"41,753", 
 North Sydney LGA, Persons, 2016 and 2031*, 45-64, , , ,"16,205", , ,"20,208", 
 North Sydney LGA, Persons, 2016 and 2031*, 65+, , , ,"10,116", , ,"14,743", 
 North Sydney LGA, Persons, 2016 and 2031*, All ages, , , ,"72,037", , ,"86,836", 
 North Sydney LGA, Persons, 2016 and 2036*, 0-14, , , ,"9,149", , , ,"10,447"
 North Sydney LGA, Persons, 2016 and 2036*, 15-44, , , ,"36,567", , , ,"43,423"
 North Sydney LGA, Persons, 2016 and 2036*, 45-64, , , ,"16,205", , , ,"21,427"
 North Sydney LGA, Persons, 2016 and 2036*, 65+, , , ,"10,116", , , ,"16,342"
 North Sydney LGA, Persons, 2016 and 2036*, All ages, , , ,"72,037", , , ,"91,638"
 Northern Beaches LGA, Persons, 2001 and 2016, 0-14,"41,219", , ,"52,406", , , , 
 Northern Beaches LGA, Persons, 2001 and 2016, 15-44,"100,309", , ,"102,275", , , , 
 Northern Beaches LGA, Persons, 2001 and 2016, 45-64,"55,311", , ,"68,183", , , , 
 Northern Beaches LGA, Persons, 2001 and 2016, 65+,"32,977", , ,"43,480", , , , 
 Northern Beaches LGA, Persons, 2001 and 2016, All ages,"229,816", , ,"266,344", , , , 
 Northern Beaches LGA, Persons, 2006 and 2016, 0-14, ,"43,491", ,"52,406", , , , 
 Northern Beaches LGA, Persons, 2006 and 2016, 15-44, ,"98,546", ,"102,275", , , , 
 Northern Beaches LGA, Persons, 2006 and 2016, 45-64, ,"57,455", ,"68,183", , , , 
 Northern Beaches LGA, Persons, 2006 and 2016, 65+, ,"34,108", ,"43,480", , , , 
 Northern Beaches LGA, Persons, 2006 and 2016, All ages, ,"233,600", ,"266,344", , , , 
 Northern Beaches LGA, Persons, 2011 and 2016, 0-14, , ,"48,664","52,406", , , , 
 Northern Beaches LGA, Persons, 2011 and 2016, 15-44, , ,"101,554","102,275", , , , 
 Northern Beaches LGA, Persons, 2011 and 2016, 45-64, , ,"62,957","68,183", , , , 
 Northern Beaches LGA, Persons, 2011 and 2016, 65+, , ,"38,521","43,480", , , , 
 Northern Beaches LGA, Persons, 2011 and 2016, All ages, , ,"251,696","266,344", , , , 
 Northern Beaches LGA, Persons, 2016 and 2021*, 0-14, , , ,"52,406","52,987", , , 
 Northern Beaches LGA, Persons, 2016 and 2021*, 15-44, , , ,"102,275","99,739", , , 
 Northern Beaches LGA, Persons, 2016 and 2021*, 45-64, , , ,"68,183","70,321", , , 
 Northern Beaches LGA, Persons, 2016 and 2021*, 65+, , , ,"43,480","46,986", , , 
 Northern Beaches LGA, Persons, 2016 and 2021*, All ages, , , ,"266,344","270,033", , , 
 Northern Beaches LGA, Persons, 2016 and 2026*, 0-14, , , ,"52,406", ,"52,716", , 
 Northern Beaches LGA, Persons, 2016 and 2026*, 15-44, , , ,"102,275", ,"101,847", , 
 Northern Beaches LGA, Persons, 2016 and 2026*, 45-64, , , ,"68,183", ,"71,622", , 
 Northern Beaches LGA, Persons, 2016 and 2026*, 65+, , , ,"43,480", ,"51,791", , 
 Northern Beaches LGA, Persons, 2016 and 2026*, All ages, , , ,"266,344", ,"277,976", , 
 Northern Beaches LGA, Persons, 2016 and 2031*, 0-14, , , ,"52,406", , ,"53,096", 
 Northern Beaches LGA, Persons, 2016 and 2031*, 15-44, , , ,"102,275", , ,"103,965", 
 Northern Beaches LGA, Persons, 2016 and 2031*, 45-64, , , ,"68,183", , ,"73,208", 
 Northern Beaches LGA, Persons, 2016 and 2031*, 65+, , , ,"43,480", , ,"57,365", 
 Northern Beaches LGA, Persons, 2016 and 2031*, All ages, , , ,"266,344", , ,"287,634", 
 Northern Beaches LGA, Persons, 2016 and 2036*, 0-14, , , ,"52,406", , , ,"53,803"
 Northern Beaches LGA, Persons, 2016 and 2036*, 15-44, , , ,"102,275", , , ,"106,476"
 Northern Beaches LGA, Persons, 2016 and 2036*, 45-64, , , ,"68,183", , , ,"74,662"
 Northern Beaches LGA, Persons, 2016 and 2036*, 65+, , , ,"43,480", , , ,"63,017"
 Northern Beaches LGA, Persons, 2016 and 2036*, All ages, , , ,"266,344", , , ,"297,958"
 Oberon LGA, Persons, 2001 and 2016, 0-14,"1,205", , ,962, , , , 
 Oberon LGA, Persons, 2001 and 2016, 15-44,"2,103", , ,"1,806", , , , 
 Oberon LGA, Persons, 2001 and 2016, 45-64,"1,368", , ,"1,495", , , , 
 Oberon LGA, Persons, 2001 and 2016, 65+,581, , ,"1,136", , , , 
 Oberon LGA, Persons, 2001 and 2016, All ages,"5,257", , ,"5,399", , , , 
 Oberon LGA, Persons, 2006 and 2016, 0-14, ,"1,066", ,962, , , , 
 Oberon LGA, Persons, 2006 and 2016, 15-44, ,"1,971", ,"1,806", , , , 
 Oberon LGA, Persons, 2006 and 2016, 45-64, ,"1,486", ,"1,495", , , , 
 Oberon LGA, Persons, 2006 and 2016, 65+, ,656, ,"1,136", , , , 
 Oberon LGA, Persons, 2006 and 2016, All ages, ,"5,179", ,"5,399", , , , 
 Oberon LGA, Persons, 2011 and 2016, 0-14, , ,"1,019",962, , , , 
 Oberon LGA, Persons, 2011 and 2016, 15-44, , ,"1,821","1,806", , , , 
 Oberon LGA, Persons, 2011 and 2016, 45-64, , ,"1,492","1,495", , , , 
 Oberon LGA, Persons, 2011 and 2016, 65+, , ,877,"1,136", , , , 
 Oberon LGA, Persons, 2011 and 2016, All ages, , ,"5,209","5,399", , , , 
 Oberon LGA, Persons, 2016 and 2021*, 0-14, , , ,962,916, , , 
 Oberon LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,806","1,625", , , 
 Oberon LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,495","1,393", , , 
 Oberon LGA, Persons, 2016 and 2021*, 65+, , , ,"1,136","1,282", , , 
 Oberon LGA, Persons, 2016 and 2021*, All ages, , , ,"5,399","5,215", , , 
 Oberon LGA, Persons, 2016 and 2026*, 0-14, , , ,962, ,867, , 
 Oberon LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,806", ,"1,556", , 
 Oberon LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,495", ,"1,305", , 
 Oberon LGA, Persons, 2016 and 2026*, 65+, , , ,"1,136", ,"1,429", , 
 Oberon LGA, Persons, 2016 and 2026*, All ages, , , ,"5,399", ,"5,156", , 
 Oberon LGA, Persons, 2016 and 2031*, 0-14, , , ,962, , ,822, 
 Oberon LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,806", , ,"1,472", 
 Oberon LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,495", , ,"1,246", 
 Oberon LGA, Persons, 2016 and 2031*, 65+, , , ,"1,136", , ,"1,516", 
 Oberon LGA, Persons, 2016 and 2031*, All ages, , , ,"5,399", , ,"5,056", 
 Oberon LGA, Persons, 2016 and 2036*, 0-14, , , ,962, , , ,776
 Oberon LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,806", , , ,"1,376"
 Oberon LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,495", , , ,"1,198"
 Oberon LGA, Persons, 2016 and 2036*, 65+, , , ,"1,136", , , ,"1,569"
 Oberon LGA, Persons, 2016 and 2036*, All ages, , , ,"5,399", , , ,"4,919"
 Orange LGA, Persons, 2001 and 2016, 0-14,"8,516", , ,"8,934", , , , 
 Orange LGA, Persons, 2001 and 2016, 15-44,"15,528", , ,"16,092", , , , 
 Orange LGA, Persons, 2001 and 2016, 45-64,"7,942", , ,"9,708", , , , 
 Orange LGA, Persons, 2001 and 2016, 65+,"4,715", , ,"6,650", , , , 
 Orange LGA, Persons, 2001 and 2016, All ages,"36,701", , ,"41,384", , , , 
 Orange LGA, Persons, 2006 and 2016, 0-14, ,"8,027", ,"8,934", , , , 
 Orange LGA, Persons, 2006 and 2016, 15-44, ,"14,741", ,"16,092", , , , 
 Orange LGA, Persons, 2006 and 2016, 45-64, ,"8,555", ,"9,708", , , , 
 Orange LGA, Persons, 2006 and 2016, 65+, ,"5,051", ,"6,650", , , , 
 Orange LGA, Persons, 2006 and 2016, All ages, ,"36,374", ,"41,384", , , , 
 Orange LGA, Persons, 2011 and 2016, 0-14, , ,"8,628","8,934", , , , 
 Orange LGA, Persons, 2011 and 2016, 15-44, , ,"15,835","16,092", , , , 
 Orange LGA, Persons, 2011 and 2016, 45-64, , ,"9,337","9,708", , , , 
 Orange LGA, Persons, 2011 and 2016, 65+, , ,"5,619","6,650", , , , 
 Orange LGA, Persons, 2011 and 2016, All ages, , ,"39,419","41,384", , , , 
 Orange LGA, Persons, 2016 and 2021*, 0-14, , , ,"8,934","9,151", , , 
 Orange LGA, Persons, 2016 and 2021*, 15-44, , , ,"16,092","16,892", , , 
 Orange LGA, Persons, 2016 and 2021*, 45-64, , , ,"9,708","9,904", , , 
 Orange LGA, Persons, 2016 and 2021*, 65+, , , ,"6,650","7,657", , , 
 Orange LGA, Persons, 2016 and 2021*, All ages, , , ,"41,384","43,604", , , 
 Orange LGA, Persons, 2016 and 2026*, 0-14, , , ,"8,934", ,"9,237", , 
 Orange LGA, Persons, 2016 and 2026*, 15-44, , , ,"16,092", ,"17,522", , 
 Orange LGA, Persons, 2016 and 2026*, 45-64, , , ,"9,708", ,"9,905", , 
 Orange LGA, Persons, 2016 and 2026*, 65+, , , ,"6,650", ,"8,800", , 
 Orange LGA, Persons, 2016 and 2026*, All ages, , , ,"41,384", ,"45,464", , 
 Orange LGA, Persons, 2016 and 2031*, 0-14, , , ,"8,934", , ,"9,388", 
 Orange LGA, Persons, 2016 and 2031*, 15-44, , , ,"16,092", , ,"17,689", 
 Orange LGA, Persons, 2016 and 2031*, 45-64, , , ,"9,708", , ,"10,305", 
 Orange LGA, Persons, 2016 and 2031*, 65+, , , ,"6,650", , ,"9,801", 
 Orange LGA, Persons, 2016 and 2031*, All ages, , , ,"41,384", , ,"47,183", 
 Orange LGA, Persons, 2016 and 2036*, 0-14, , , ,"8,934", , , ,"9,493"
 Orange LGA, Persons, 2016 and 2036*, 15-44, , , ,"16,092", , , ,"17,772"
 Orange LGA, Persons, 2016 and 2036*, 45-64, , , ,"9,708", , , ,"10,812"
 Orange LGA, Persons, 2016 and 2036*, 65+, , , ,"6,650", , , ,"10,688"
 Orange LGA, Persons, 2016 and 2036*, All ages, , , ,"41,384", , , ,"48,765"
 Parkes LGA, Persons, 2001 and 2016, 0-14,"3,594", , ,"3,084", , , , 
 Parkes LGA, Persons, 2001 and 2016, 15-44,"5,685", , ,"5,133", , , , 
 Parkes LGA, Persons, 2001 and 2016, 45-64,"3,362", , ,"3,892", , , , 
 Parkes LGA, Persons, 2001 and 2016, 65+,"2,286", , ,"2,837", , , , 
 Parkes LGA, Persons, 2001 and 2016, All ages,"14,927", , ,"14,946", , , , 
 Parkes LGA, Persons, 2006 and 2016, 0-14, ,"3,334", ,"3,084", , , , 
 Parkes LGA, Persons, 2006 and 2016, 15-44, ,"5,284", ,"5,133", , , , 
 Parkes LGA, Persons, 2006 and 2016, 45-64, ,"3,591", ,"3,892", , , , 
 Parkes LGA, Persons, 2006 and 2016, 65+, ,"2,391", ,"2,837", , , , 
 Parkes LGA, Persons, 2006 and 2016, All ages, ,"14,600", ,"14,946", , , , 
 Parkes LGA, Persons, 2011 and 2016, 0-14, , ,"3,396","3,084", , , , 
 Parkes LGA, Persons, 2011 and 2016, 15-44, , ,"5,260","5,133", , , , 
 Parkes LGA, Persons, 2011 and 2016, 45-64, , ,"3,738","3,892", , , , 
 Parkes LGA, Persons, 2011 and 2016, 65+, , ,"2,689","2,837", , , , 
 Parkes LGA, Persons, 2011 and 2016, All ages, , ,"15,083","14,946", , , , 
 Parkes LGA, Persons, 2016 and 2021*, 0-14, , , ,"3,084","3,303", , , 
 Parkes LGA, Persons, 2016 and 2021*, 15-44, , , ,"5,133","5,259", , , 
 Parkes LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,892","3,772", , , 
 Parkes LGA, Persons, 2016 and 2021*, 65+, , , ,"2,837","3,110", , , 
 Parkes LGA, Persons, 2016 and 2021*, All ages, , , ,"14,946","15,444", , , 
 Parkes LGA, Persons, 2016 and 2026*, 0-14, , , ,"3,084", ,"3,304", , 
 Parkes LGA, Persons, 2016 and 2026*, 15-44, , , ,"5,133", ,"5,220", , 
 Parkes LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,892", ,"3,603", , 
 Parkes LGA, Persons, 2016 and 2026*, 65+, , , ,"2,837", ,"3,455", , 
 Parkes LGA, Persons, 2016 and 2026*, All ages, , , ,"14,946", ,"15,581", , 
 Parkes LGA, Persons, 2016 and 2031*, 0-14, , , ,"3,084", , ,"3,267", 
 Parkes LGA, Persons, 2016 and 2031*, 15-44, , , ,"5,133", , ,"5,117", 
 Parkes LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,892", , ,"3,565", 
 Parkes LGA, Persons, 2016 and 2031*, 65+, , , ,"2,837", , ,"3,726", 
 Parkes LGA, Persons, 2016 and 2031*, All ages, , , ,"14,946", , ,"15,675", 
 Parkes LGA, Persons, 2016 and 2036*, 0-14, , , ,"3,084", , , ,"3,208"
 Parkes LGA, Persons, 2016 and 2036*, 15-44, , , ,"5,133", , , ,"4,976"
 Parkes LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,892", , , ,"3,604"
 Parkes LGA, Persons, 2016 and 2036*, 65+, , , ,"2,837", , , ,"3,929"
 Parkes LGA, Persons, 2016 and 2036*, All ages, , , ,"14,946", , , ,"15,718"
 Parramatta LGA, Persons, 2001 and 2016, 0-14,"31,287", , ,"43,470", , , , 
 Parramatta LGA, Persons, 2001 and 2016, 15-44,"79,649", , ,"113,617", , , , 
 Parramatta LGA, Persons, 2001 and 2016, 45-64,"38,552", , ,"49,931", , , , 
 Parramatta LGA, Persons, 2001 and 2016, 65+,"20,613", , ,"27,950", , , , 
 Parramatta LGA, Persons, 2001 and 2016, All ages,"170,101", , ,"234,968", , , , 
 Parramatta LGA, Persons, 2006 and 2016, 0-14, ,"31,866", ,"43,470", , , , 
 Parramatta LGA, Persons, 2006 and 2016, 15-44, ,"86,074", ,"113,617", , , , 
 Parramatta LGA, Persons, 2006 and 2016, 45-64, ,"41,439", ,"49,931", , , , 
 Parramatta LGA, Persons, 2006 and 2016, 65+, ,"21,540", ,"27,950", , , , 
 Parramatta LGA, Persons, 2006 and 2016, All ages, ,"180,919", ,"234,968", , , , 
 Parramatta LGA, Persons, 2011 and 2016, 0-14, , ,"35,466","43,470", , , , 
 Parramatta LGA, Persons, 2011 and 2016, 15-44, , ,"96,746","113,617", , , , 
 Parramatta LGA, Persons, 2011 and 2016, 45-64, , ,"46,207","49,931", , , , 
 Parramatta LGA, Persons, 2011 and 2016, 65+, , ,"24,786","27,950", , , , 
 Parramatta LGA, Persons, 2011 and 2016, All ages, , ,"203,205","234,968", , , , 
 Parramatta LGA, Persons, 2016 and 2021*, 0-14, , , ,"43,470","56,398", , , 
 Parramatta LGA, Persons, 2016 and 2021*, 15-44, , , ,"113,617","137,501", , , 
 Parramatta LGA, Persons, 2016 and 2021*, 45-64, , , ,"49,931","64,349", , , 
 Parramatta LGA, Persons, 2016 and 2021*, 65+, , , ,"27,950","38,224", , , 
 Parramatta LGA, Persons, 2016 and 2021*, All ages, , , ,"234,968","296,472", , , 
 Parramatta LGA, Persons, 2016 and 2026*, 0-14, , , ,"43,470", ,"65,205", , 
 Parramatta LGA, Persons, 2016 and 2026*, 15-44, , , ,"113,617", ,"153,438", , 
 Parramatta LGA, Persons, 2016 and 2026*, 45-64, , , ,"49,931", ,"73,475", , 
 Parramatta LGA, Persons, 2016 and 2026*, 65+, , , ,"27,950", ,"45,871", , 
 Parramatta LGA, Persons, 2016 and 2026*, All ages, , , ,"234,968", ,"337,989", , 
 Parramatta LGA, Persons, 2016 and 2031*, 0-14, , , ,"43,470", , ,"71,834", 
 Parramatta LGA, Persons, 2016 and 2031*, 15-44, , , ,"113,617", , ,"165,546", 
 Parramatta LGA, Persons, 2016 and 2031*, 45-64, , , ,"49,931", , ,"86,687", 
 Parramatta LGA, Persons, 2016 and 2031*, 65+, , , ,"27,950", , ,"55,124", 
 Parramatta LGA, Persons, 2016 and 2031*, All ages, , , ,"234,968", , ,"379,191", 
 Parramatta LGA, Persons, 2016 and 2036*, 0-14, , , ,"43,470", , , ,"75,775"
 Parramatta LGA, Persons, 2016 and 2036*, 15-44, , , ,"113,617", , , ,"173,864"
 Parramatta LGA, Persons, 2016 and 2036*, 45-64, , , ,"49,931", , , ,"101,387"
 Parramatta LGA, Persons, 2016 and 2036*, 65+, , , ,"27,950", , , ,"65,719"
 Parramatta LGA, Persons, 2016 and 2036*, All ages, , , ,"234,968", , , ,"416,744"
 Penrith LGA, Persons, 2001 and 2016, 0-14,"42,768", , ,"43,077", , , , 
 Penrith LGA, Persons, 2001 and 2016, 15-44,"84,250", , ,"88,546", , , , 
 Penrith LGA, Persons, 2001 and 2016, 45-64,"37,038", , ,"47,081", , , , 
 Penrith LGA, Persons, 2001 and 2016, 65+,"12,221", , ,"22,696", , , , 
 Penrith LGA, Persons, 2001 and 2016, All ages,"176,277", , ,"201,400", , , , 
 Penrith LGA, Persons, 2006 and 2016, 0-14, ,"39,854", ,"43,077", , , , 
 Penrith LGA, Persons, 2006 and 2016, 15-44, ,"80,638", ,"88,546", , , , 
 Penrith LGA, Persons, 2006 and 2016, 45-64, ,"41,484", ,"47,081", , , , 
 Penrith LGA, Persons, 2006 and 2016, 65+, ,"14,091", ,"22,696", , , , 
 Penrith LGA, Persons, 2006 and 2016, All ages, ,"176,067", ,"201,400", , , , 
 Penrith LGA, Persons, 2011 and 2016, 0-14, , ,"39,433","43,077", , , , 
 Penrith LGA, Persons, 2011 and 2016, 15-44, , ,"82,182","88,546", , , , 
 Penrith LGA, Persons, 2011 and 2016, 45-64, , ,"45,520","47,081", , , , 
 Penrith LGA, Persons, 2011 and 2016, 65+, , ,"17,454","22,696", , , , 
 Penrith LGA, Persons, 2011 and 2016, All ages, , ,"184,589","201,400", , , , 
 Penrith LGA, Persons, 2016 and 2021*, 0-14, , , ,"43,077","47,723", , , 
 Penrith LGA, Persons, 2016 and 2021*, 15-44, , , ,"88,546","92,169", , , 
 Penrith LGA, Persons, 2016 and 2021*, 45-64, , , ,"47,081","50,888", , , 
 Penrith LGA, Persons, 2016 and 2021*, 65+, , , ,"22,696","30,842", , , 
 Penrith LGA, Persons, 2016 and 2021*, All ages, , , ,"201,400","221,623", , , 
 Penrith LGA, Persons, 2016 and 2026*, 0-14, , , ,"43,077", ,"50,719", , 
 Penrith LGA, Persons, 2016 and 2026*, 15-44, , , ,"88,546", ,"95,895", , 
 Penrith LGA, Persons, 2016 and 2026*, 45-64, , , ,"47,081", ,"53,249", , 
 Penrith LGA, Persons, 2016 and 2026*, 65+, , , ,"22,696", ,"37,618", , 
 Penrith LGA, Persons, 2016 and 2026*, All ages, , , ,"201,400", ,"237,482", , 
 Penrith LGA, Persons, 2016 and 2031*, 0-14, , , ,"43,077", , ,"52,774", 
 Penrith LGA, Persons, 2016 and 2031*, 15-44, , , ,"88,546", , ,"99,719", 
